signal_variant,metric,value
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,total_pnl,13475.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,n_trades,163.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,win_rate,50.9202
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,profit_factor,2.0446
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,avg_trade,82.6687
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,max_win,1065.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,sl_hits,112.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,tp_hits,51.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,avg_mfe,340.092
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z2.5_r0.3,avg_mae,192.546
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,total_pnl,11375.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,n_trades,123.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,win_rate,50.4065
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,profit_factor,2.1649
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,avg_trade,92.4797
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,max_win,1125.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,sl_hits,88.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,tp_hits,35.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,avg_mfe,378.252
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z2.5_r0.3,avg_mae,180.4065
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,total_pnl,11840.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,n_trades,141.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,win_rate,53.1915
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,profit_factor,2.0983
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,avg_trade,83.9716
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,max_win,935.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,sl_hits,92.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,tp_hits,49.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,avg_mfe,312.8014
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.0_r0.3,avg_mae,187.3759
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,total_pnl,11840.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,n_trades,141.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,win_rate,53.1915
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,profit_factor,2.0983
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,avg_trade,83.9716
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,max_win,935.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,sl_hits,92.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,tp_hits,49.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,avg_mfe,312.8014
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z3.5_r0.3,avg_mae,187.3759
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,total_pnl,11145.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,n_trades,128.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,win_rate,55.4688
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,profit_factor,2.1901
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,avg_trade,87.0703
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,max_win,980.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,sl_hits,83.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,tp_hits,45.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,avg_mfe,321.5234
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.0_r0.3,avg_mae,173.2812
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,total_pnl,11145.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,n_trades,128.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,win_rate,55.4688
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,profit_factor,2.1901
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,avg_trade,87.0703
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,max_win,980.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,sl_hits,83.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,tp_hits,45.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,avg_mfe,321.5234
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s20_z3.5_r0.3,avg_mae,173.2812
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,total_pnl,11180.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,n_trades,130.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,win_rate,50.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,profit_factor,2.0982
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,avg_trade,86.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,max_win,1065.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,sl_hits,94.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,tp_hits,36.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,avg_mfe,363.9231
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.3,avg_mae,188.3846
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,total_pnl,12135.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,n_trades,176.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,win_rate,53.4091
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,profit_factor,1.8858
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,avg_trade,68.9489
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,max_win,935.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,sl_hits,115.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,tp_hits,61.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,avg_mfe,296.7614
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.0_r0.3,avg_mae,187.5568
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,total_pnl,12135.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,n_trades,176.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,win_rate,53.4091
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,profit_factor,1.8858
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,avg_trade,68.9489
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,max_win,935.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,sl_hits,115.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,tp_hits,61.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,avg_mfe,296.7614
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s0_z3.5_r0.3,avg_mae,187.5568
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,total_pnl,10040.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,n_trades,129.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,win_rate,49.6124
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,profit_factor,1.941
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,avg_trade,77.8295
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,max_win,935.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,max_loss,-200.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,be_hits,0.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,sl_hits,83.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,tp_hits,46.0
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,avg_mfe,299.9225
PA_SIGNAL_DIR_/PA_SIGNAL_DIR_s10_z2.5_r0.5,avg_mae,198.9535
