entry_dt,exit_dt,direction,pnl,hit_type,candles_held,mfe,mae,atr,tp,sl,be_triggered,book_imbalance
2026-03-30 18:20:00,2026-03-31 09:00:00,SELL,-200,SL,1,0.0,2845.0,177.14285714285714,319,200,False,0.0
2026-04-01 15:00:00,2026-04-01 15:05:00,SELL,345,TP,1,460.0,0.0,187.5,338,200,True,0.0
2026-04-01 18:00:00,2026-04-01 18:05:00,SELL,-200,SL,1,0.0,285.0,191.78571428571428,345,200,False,0.0
2026-04-02 17:50:00,2026-04-02 18:20:00,SELL,-200,SL,6,100.0,210.0,198.21428571428572,357,200,False,0.0
2026-04-02 18:20:00,2026-04-06 09:00:00,SELL,-200,SL,1,0.0,910.0,165.71428571428572,298,200,False,0.0
2026-04-06 17:50:00,2026-04-07 09:00:00,SELL,805,TP,7,835.0,160.0,150.0,270,200,True,0.0
2026-04-08 17:50:00,2026-04-08 17:55:00,SELL,-200,SL,1,0.0,235.0,156.07142857142858,281,200,False,0.0
2026-04-08 18:20:00,2026-04-09 09:00:00,SELL,530,TP,1,680.0,300.0,159.28571428571428,287,200,True,0.0
2026-04-10 14:30:00,2026-04-10 14:40:00,SELL,-200,SL,2,0.0,215.0,182.85714285714286,329,200,False,0.0
2026-04-14 15:25:00,2026-04-14 15:30:00,SELL,-200,SL,1,0.0,230.0,174.64285714285714,314,200,False,0.0
2026-04-14 15:55:00,2026-04-14 16:00:00,SELL,-200,SL,1,0.0,335.0,172.14285714285714,310,200,False,0.0
2026-04-15 14:50:00,2026-04-15 14:55:00,SELL,-200,SL,1,0.0,275.0,184.28571428571428,332,200,False,0.0
2026-04-15 16:35:00,2026-04-15 16:50:00,SELL,10,SL,3,260.0,0.0,179.64285714285714,323,200,True,0.0
2026-04-16 16:00:00,2026-04-16 16:15:00,SELL,-200,SL,3,10.0,280.0,179.64285714285714,323,200,False,0.0
2026-04-17 15:10:00,2026-04-17 15:45:00,SELL,350,TP,7,435.0,25.0,186.07142857142858,335,200,True,0.0
2026-04-17 15:20:00,2026-04-17 15:45:00,SELL,320,TP,5,375.0,85.0,175.71428571428572,316,200,True,0.0
2026-04-20 15:40:00,2026-04-20 16:20:00,SELL,100,TP,8,160.0,175.0,158.21428571428572,285,200,False,0.0
2026-04-22 15:20:00,2026-04-22 16:00:00,SELL,360,TP,8,445.0,30.0,185.35714285714286,334,200,True,0.0
2026-04-22 15:30:00,2026-04-22 16:00:00,SELL,325,TP,6,370.0,65.0,172.5,310,200,True,0.0
2026-04-22 15:40:00,2026-04-22 16:00:00,SELL,310,TP,4,375.0,30.0,167.14285714285714,301,200,True,0.0
2026-04-22 15:50:00,2026-04-22 16:00:00,SELL,-80,SL,2,245.0,100.0,157.14285714285714,283,200,True,0.0
2026-04-22 16:05:00,2026-04-22 16:15:00,SELL,-200,SL,2,50.0,230.0,157.14285714285714,283,200,False,0.0
2026-04-23 17:15:00,2026-04-23 17:50:00,SELL,105,TP,7,205.0,105.0,185.0,333,200,True,0.0
2026-04-24 14:10:00,2026-04-24 14:35:00,SELL,-200,SL,5,105.0,225.0,166.07142857142858,299,200,False,0.0
2026-04-24 14:20:00,2026-04-24 14:40:00,SELL,-200,SL,4,15.0,250.0,153.92857142857142,277,200,False,0.0
2026-04-24 15:20:00,2026-04-24 15:30:00,SELL,-200,SL,2,10.0,345.0,153.92857142857142,277,200,False,0.0
2026-04-27 14:20:00,2026-04-27 14:25:00,SELL,-200,SL,1,0.0,320.0,155.0,279,200,False,0.0
2026-04-27 14:50:00,2026-04-27 15:00:00,SELL,-200,SL,2,0.0,210.0,167.14285714285714,301,200,False,0.0
2026-04-28 15:15:00,2026-04-28 15:20:00,SELL,-200,SL,1,0.0,340.0,158.21428571428572,285,200,False,0.0
2026-04-29 13:35:00,2026-04-29 14:30:00,SELL,25,SL,11,90.0,115.0,197.85714285714286,356,200,False,0.0
2026-04-29 15:15:00,2026-04-29 15:20:00,SELL,-200,SL,1,0.0,235.0,184.64285714285714,332,200,False,0.0
2026-04-29 16:50:00,2026-04-29 17:00:00,SELL,-200,SL,2,25.0,205.0,196.07142857142858,353,200,False,0.0
2026-04-29 17:35:00,2026-04-29 18:05:00,SELL,350,TP,6,370.0,0.0,187.14285714285714,337,200,True,0.0
2026-04-29 18:05:00,2026-04-29 18:30:00,SELL,0,SL,4,280.0,0.0,158.92857142857142,286,200,True,0.0
