entry_dt,exit_dt,direction,pnl,hit_type,candles_held,mfe,mae,atr,tp,sl,be_triggered,book_imbalance
2026-03-30 18:20:00,2026-03-31 09:00:00,SELL,-200,SL,1,0.0,2845.0,177.14285714285714,443,200,False,0.0
2026-04-06 17:55:00,2026-04-07 09:00:00,SELL,815,TP,6,845.0,150.0,142.85714285714286,357,200,True,0.0
2026-04-06 18:05:00,2026-04-06 18:10:00,SELL,-200,SL,1,0.0,220.0,141.07142857142858,353,200,False,0.0
2026-04-07 15:50:00,2026-04-07 15:55:00,SELL,480,TP,1,490.0,0.0,186.78571428571428,467,200,True,0.0
2026-04-07 16:00:00,2026-04-07 16:05:00,SELL,-20,SL,1,230.0,180.0,192.5,481,200,True,0.0
2026-04-09 09:00:00,2026-04-09 09:05:00,SELL,-200,SL,1,0.0,935.0,183.21428571428572,458,200,False,0.0
2026-04-10 14:10:00,2026-04-10 14:45:00,SELL,-200,SL,7,165.0,205.0,190.35714285714286,476,200,False,0.0
2026-04-10 14:20:00,2026-04-10 14:45:00,SELL,-200,SL,5,155.0,215.0,191.07142857142858,478,200,False,0.0
2026-04-10 14:30:00,2026-04-10 14:40:00,SELL,-200,SL,2,0.0,215.0,182.85714285714286,457,200,False,0.0
2026-04-10 14:40:00,2026-04-10 14:55:00,SELL,-200,SL,3,5.0,215.0,180.0,450,200,False,0.0
2026-04-14 15:25:00,2026-04-14 15:30:00,SELL,-200,SL,1,0.0,230.0,174.64285714285714,437,200,False,0.0
2026-04-14 15:35:00,2026-04-14 16:00:00,SELL,-200,SL,5,120.0,375.0,170.0,425,200,False,0.0
2026-04-14 15:45:00,2026-04-14 16:00:00,SELL,-200,SL,3,55.0,415.0,168.92857142857142,422,200,False,0.0
2026-04-14 15:55:00,2026-04-14 16:00:00,SELL,-200,SL,1,0.0,335.0,172.14285714285714,430,200,False,0.0
2026-04-14 17:35:00,2026-04-15 09:00:00,SELL,10,SL,10,670.0,150.0,144.64285714285714,362,200,True,0.0
2026-04-14 18:00:00,2026-04-15 09:00:00,SELL,0,SL,5,715.0,105.0,129.64285714285714,324,200,True,0.0
2026-04-14 18:15:00,2026-04-15 09:00:00,SELL,315,TP,2,755.0,20.0,118.57142857142857,296,200,True,0.0
2026-04-15 09:00:00,2026-04-15 09:05:00,SELL,510,TP,1,845.0,0.0,122.14285714285714,305,200,True,0.0
2026-04-15 13:45:00,2026-04-15 14:00:00,SELL,-200,SL,3,110.0,225.0,165.71428571428572,414,200,False,0.0
2026-04-15 14:05:00,2026-04-15 14:45:00,SELL,130,TP,8,155.0,180.0,167.5,419,200,False,0.0
2026-04-15 14:15:00,2026-04-15 14:55:00,SELL,-200,SL,8,185.0,215.0,169.64285714285714,424,200,False,0.0
2026-04-15 16:35:00,2026-04-15 16:50:00,SELL,10,SL,3,260.0,0.0,179.64285714285714,449,200,True,0.0
2026-04-15 16:45:00,2026-04-15 17:05:00,SELL,-200,SL,4,50.0,230.0,189.64285714285714,474,200,False,0.0
2026-04-15 16:55:00,2026-04-15 17:05:00,SELL,-200,SL,2,0.0,215.0,180.71428571428572,452,200,False,0.0
2026-04-16 09:00:00,2026-04-16 09:05:00,SELL,-200,SL,1,0.0,585.0,118.92857142857143,297,200,False,0.0
2026-04-16 14:10:00,2026-04-16 14:55:00,SELL,445,TP,9,520.0,0.0,176.07142857142858,440,200,True,0.0
2026-04-16 14:20:00,2026-04-16 14:55:00,SELL,-40,SL,7,270.0,130.0,187.14285714285714,468,200,True,0.0
2026-04-16 14:30:00,2026-04-16 14:55:00,SELL,-40,SL,5,270.0,130.0,184.64285714285714,462,200,True,0.0
2026-04-16 14:40:00,2026-04-16 14:55:00,SELL,-70,SL,3,240.0,160.0,180.71428571428572,452,200,True,0.0
2026-04-16 14:50:00,2026-04-16 15:00:00,SELL,25,SL,2,370.0,0.0,153.92857142857142,385,200,True,0.0
2026-04-16 15:00:00,2026-04-16 15:05:00,SELL,-200,SL,1,0.0,315.0,165.35714285714286,413,200,False,0.0
2026-04-16 15:10:00,2026-04-16 15:15:00,SELL,-200,SL,1,0.0,210.0,191.07142857142858,478,200,False,0.0
2026-04-16 15:20:00,2026-04-16 16:15:00,SELL,230,TP,11,420.0,10.0,192.14285714285714,480,200,True,0.0
2026-04-16 15:40:00,2026-04-16 16:10:00,SELL,25,SL,6,315.0,0.0,179.28571428571428,448,200,True,0.0
2026-04-16 15:55:00,2026-04-16 16:15:00,SELL,-200,SL,4,30.0,270.0,181.07142857142858,453,200,False,0.0
2026-04-16 16:10:00,2026-04-16 16:40:00,SELL,-200,SL,6,75.0,235.0,163.92857142857142,410,200,False,0.0
2026-04-17 09:00:00,2026-04-17 09:05:00,SELL,210,TP,1,230.0,25.0,82.14285714285714,205,200,True,0.0
2026-04-17 15:15:00,2026-04-17 15:50:00,SELL,480,TP,7,810.0,140.0,191.07142857142858,478,200,True,0.0
2026-04-17 15:40:00,2026-04-17 15:50:00,SELL,335,TP,2,820.0,0.0,133.57142857142858,334,200,True,0.0
2026-04-17 15:50:00,2026-04-17 15:55:00,SELL,460,TP,1,545.0,0.0,147.5,369,200,True,0.0
2026-04-17 17:05:00,2026-04-17 17:10:00,SELL,-200,SL,1,0.0,345.0,178.21428571428572,446,200,False,0.0
2026-04-17 18:15:00,2026-04-20 09:00:00,SELL,375,TP,2,445.0,100.0,146.42857142857142,366,200,True,0.0
2026-04-20 09:00:00,2026-04-20 09:05:00,SELL,-200,SL,1,90.0,230.0,130.0,325,200,False,0.0
2026-04-20 14:05:00,2026-04-20 14:30:00,SELL,405,TP,5,460.0,105.0,160.71428571428572,402,200,True,0.0
2026-04-20 14:15:00,2026-04-20 14:25:00,SELL,405,TP,2,405.0,0.0,160.35714285714286,401,200,True,0.0
2026-04-20 14:25:00,2026-04-20 15:00:00,SELL,25,SL,7,330.0,10.0,161.07142857142858,403,200,True,0.0
2026-04-20 14:35:00,2026-04-20 15:00:00,SELL,-200,SL,5,40.0,295.0,167.85714285714286,420,200,False,0.0
2026-04-20 14:45:00,2026-04-20 15:05:00,SELL,-200,SL,4,155.0,340.0,165.35714285714286,413,200,False,0.0
2026-04-20 14:55:00,2026-04-20 15:05:00,SELL,-200,SL,2,30.0,355.0,163.57142857142858,409,200,False,0.0
2026-04-20 15:45:00,2026-04-20 16:10:00,SELL,-200,SL,5,55.0,260.0,157.85714285714286,395,200,False,0.0
2026-04-20 16:05:00,2026-04-20 16:10:00,SELL,-200,SL,1,0.0,295.0,143.92857142857142,360,200,False,0.0
2026-04-22 14:45:00,2026-04-22 14:50:00,SELL,-200,SL,1,0.0,250.0,198.21428571428572,496,200,False,0.0
2026-04-22 14:55:00,2026-04-22 15:45:00,SELL,10,SL,10,200.0,185.0,192.14285714285714,480,200,True,0.0
2026-04-22 15:05:00,2026-04-22 16:00:00,SELL,480,TP,11,495.0,100.0,190.71428571428572,477,200,True,0.0
2026-04-22 15:30:00,2026-04-22 16:15:00,SELL,15,SL,9,370.0,65.0,172.5,431,200,True,0.0
2026-04-22 15:40:00,2026-04-22 16:50:00,SELL,15,SL,14,375.0,30.0,167.14285714285714,418,200,True,0.0
2026-04-22 15:50:00,2026-04-22 16:00:00,SELL,-80,SL,2,245.0,100.0,157.14285714285714,393,200,True,0.0
2026-04-22 16:05:00,2026-04-22 16:15:00,SELL,-200,SL,2,50.0,230.0,157.14285714285714,393,200,False,0.0
2026-04-22 16:15:00,2026-04-22 16:20:00,SELL,-200,SL,1,0.0,225.0,148.21428571428572,371,200,False,0.0
2026-04-22 16:25:00,2026-04-22 17:40:00,SELL,-30,SL,15,190.0,150.0,154.64285714285714,387,200,False,0.0
2026-04-22 16:35:00,2026-04-22 16:50:00,SELL,-200,SL,3,95.0,230.0,160.35714285714286,401,200,False,0.0
2026-04-23 17:15:00,2026-04-23 17:55:00,SELL,15,SL,8,205.0,105.0,185.0,462,200,True,0.0
2026-04-23 17:30:00,2026-04-24 09:00:00,SELL,-200,SL,11,390.0,520.0,167.85714285714286,420,200,True,0.0
2026-04-23 17:55:00,2026-04-24 09:00:00,SELL,-200,SL,6,305.0,605.0,133.21428571428572,333,200,True,0.0
2026-04-23 18:05:00,2026-04-24 09:00:00,SELL,-200,SL,4,235.0,675.0,124.64285714285714,312,200,True,0.0
2026-04-23 18:15:00,2026-04-24 09:00:00,SELL,-200,SL,2,155.0,755.0,125.71428571428571,314,200,False,0.0
2026-04-24 09:00:00,2026-04-24 09:05:00,SELL,335,TP,1,475.0,0.0,130.71428571428572,327,200,True,0.0
2026-04-24 14:10:00,2026-04-24 14:35:00,SELL,-200,SL,5,105.0,225.0,166.07142857142858,415,200,False,0.0
2026-04-24 14:20:00,2026-04-24 14:40:00,SELL,-200,SL,4,15.0,250.0,153.92857142857142,385,200,False,0.0
2026-04-27 13:55:00,2026-04-27 14:20:00,SELL,5,SL,5,230.0,165.0,162.85714285714286,407,200,True,0.0
2026-04-27 14:05:00,2026-04-27 14:20:00,SELL,5,SL,3,265.0,25.0,156.42857142857142,391,200,True,0.0
2026-04-27 14:20:00,2026-04-27 14:25:00,SELL,-200,SL,1,0.0,320.0,155.0,388,200,False,0.0
2026-04-27 16:00:00,2026-04-27 16:30:00,SELL,360,TP,6,360.0,90.0,143.21428571428572,358,200,True,0.0
2026-04-27 16:10:00,2026-04-27 16:35:00,SELL,360,TP,5,360.0,80.0,143.21428571428572,358,200,True,0.0
2026-04-27 16:20:00,2026-04-27 16:30:00,SELL,360,TP,2,400.0,0.0,142.85714285714286,357,200,True,0.0
2026-04-27 16:30:00,2026-04-27 17:00:00,SELL,380,TP,6,415.0,0.0,151.07142857142858,378,200,True,0.0
2026-04-27 16:40:00,2026-04-27 18:15:00,SELL,425,TP,19,425.0,0.0,167.14285714285714,418,200,True,0.0
2026-04-27 16:50:00,2026-04-27 18:20:00,SELL,410,TP,18,475.0,0.0,163.92857142857142,410,200,True,0.0
2026-04-27 17:05:00,2026-04-27 17:45:00,SELL,110,TP,8,115.0,80.0,143.92857142857142,360,200,False,0.0
2026-04-27 17:15:00,2026-04-28 09:00:00,SELL,935,TP,14,1310.0,50.0,145.71428571428572,364,200,True,0.0
2026-04-27 17:40:00,2026-04-28 09:00:00,SELL,840,TP,9,1215.0,65.0,126.78571428571429,317,200,True,0.0
2026-04-27 17:55:00,2026-04-28 09:00:00,SELL,825,TP,6,1200.0,30.0,103.21428571428571,258,200,True,0.0
2026-04-27 18:10:00,2026-04-28 09:00:00,SELL,795,TP,3,1170.0,5.0,92.5,231,200,True,0.0
2026-04-27 18:20:00,2026-04-28 09:00:00,SELL,710,TP,1,1085.0,0.0,88.21428571428571,221,200,True,0.0
2026-04-28 15:15:00,2026-04-28 15:20:00,SELL,-200,SL,1,0.0,340.0,158.21428571428572,396,200,False,0.0
2026-04-28 16:00:00,2026-04-28 16:45:00,SELL,-200,SL,9,130.0,205.0,141.78571428571428,354,200,False,0.0
2026-04-28 16:10:00,2026-04-28 16:35:00,SELL,-200,SL,5,10.0,255.0,145.35714285714286,363,200,False,0.0
2026-04-28 16:20:00,2026-04-28 16:45:00,SELL,-200,SL,5,25.0,245.0,130.0,325,200,False,0.0
2026-04-29 13:35:00,2026-04-29 14:35:00,SELL,150,TP,12,335.0,115.0,197.85714285714286,495,200,True,0.0
2026-04-29 14:05:00,2026-04-29 14:45:00,SELL,10,SL,8,335.0,105.0,150.35714285714286,376,200,True,0.0
2026-04-29 14:20:00,2026-04-29 14:35:00,SELL,330,TP,3,375.0,45.0,131.42857142857142,329,200,True,0.0
2026-04-29 14:35:00,2026-04-29 14:45:00,SELL,10,SL,2,235.0,85.0,136.07142857142858,340,200,True,0.0
2026-04-29 14:45:00,2026-04-29 15:00:00,SELL,-110,SL,3,295.0,170.0,145.71428571428572,364,200,True,0.0
2026-04-29 14:55:00,2026-04-29 15:00:00,SELL,-15,SL,1,390.0,40.0,147.85714285714286,370,200,True,0.0
2026-04-29 15:05:00,2026-04-29 15:15:00,SELL,5,SL,2,270.0,30.0,170.71428571428572,427,200,True,0.0
2026-04-29 15:15:00,2026-04-29 15:20:00,SELL,-200,SL,1,0.0,235.0,184.64285714285714,462,200,False,0.0
2026-04-29 15:25:00,2026-04-29 15:35:00,SELL,15,SL,2,370.0,55.0,198.92857142857142,497,200,True,0.0
2026-04-29 16:50:00,2026-04-29 17:00:00,SELL,-200,SL,2,25.0,205.0,196.07142857142858,490,200,False,0.0
2026-04-29 17:05:00,2026-04-29 17:15:00,SELL,455,TP,2,455.0,0.0,182.14285714285714,455,200,True,0.0
2026-04-29 17:15:00,2026-04-29 18:15:00,SELL,510,TP,12,520.0,85.0,194.28571428571428,486,200,True,0.0
2026-04-29 17:35:00,2026-04-29 18:20:00,SELL,480,TP,9,525.0,0.0,187.14285714285714,468,200,True,0.0
2026-04-29 18:05:00,2026-04-29 18:30:00,SELL,0,SL,4,280.0,0.0,158.92857142857142,397,200,True,0.0
