rank,signal,variant,f3_net,f3_n,f3_wr,f3_pf,tp,sl,atr_min,atr_max,be_offset,grace_candles,cooldown_candles,slope_decay
1,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z2.5_r0.3,8585,163,50.9,2.04,3.5,8.0,50.0,200.0,200.0,8,0,0.8
2,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z2.5_r0.3,7685,123,50.4,2.16,3.5,8.0,50.0,200.0,200.0,8,2,0.8
3,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z3.0_r0.3,7610,141,53.2,2.1,2.5,8.0,50.0,200.0,200.0,8,2,0.8
4,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z3.5_r0.3,7610,141,53.2,2.1,2.5,8.0,50.0,200.0,200.0,8,2,0.8
5,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z3.0_r0.3,7305,128,55.5,2.19,2.5,8.0,50.0,200.0,200.0,8,2,0.65
6,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z3.5_r0.3,7305,128,55.5,2.19,2.5,8.0,50.0,200.0,200.0,8,2,0.65
7,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z2.5_r0.3,7280,130,50.0,2.1,3.5,8.0,50.0,200.0,200.0,8,2,0.8
8,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z3.0_r0.3,6855,176,53.4,1.89,2.5,8.0,50.0,200.0,200.0,8,2,0.8
9,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z3.5_r0.3,6855,176,53.4,1.89,2.5,8.0,50.0,200.0,200.0,8,2,0.8
10,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z2.5_r0.5,6170,129,49.6,1.94,2.5,8.0,50.0,200.0,200.0,8,2,0.8
11,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z2.5_r0.5,5940,118,50.8,1.98,2.5,8.0,50.0,200.0,200.0,8,2,0.8
12,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z3.5_r0.5,5660,133,49.6,1.87,2.5,8.0,50.0,200.0,200.0,8,2,0.8
13,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z3.0_r0.5,5660,133,49.6,1.87,2.5,8.0,50.0,200.0,200.0,8,2,0.8
14,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z3.0_r0.5,5500,122,50.8,1.91,2.5,8.0,50.0,200.0,200.0,8,2,0.8
15,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z3.5_r0.5,5500,122,50.8,1.91,2.5,8.0,50.0,200.0,200.0,8,2,0.8
16,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z2.5_r0.5,3910,156,50.0,1.66,2.5,8.0,50.0,200.0,200.0,6,2,0.8
17,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z3.0_r0.5,3630,159,50.3,1.64,2.5,8.0,50.0,200.0,200.0,6,2,0.8
18,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z3.5_r0.5,3445,160,50.6,1.62,2.5,8.0,50.0,200.0,200.0,6,2,0.8
19,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z2.5_r0.7,2960,101,45.5,1.67,2.5,8.0,50.0,200.0,200.0,8,2,0.8
20,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z3.0_r0.7,2720,104,46.2,1.63,2.5,8.0,50.0,200.0,200.0,8,2,0.8
21,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s20_z3.5_r0.7,2720,104,46.2,1.63,2.5,8.0,50.0,200.0,200.0,8,2,0.8
22,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z2.5_r0.7,2595,127,44.1,1.52,2.5,8.0,50.0,200.0,200.0,8,2,0.8
23,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z3.0_r0.7,2545,129,45.0,1.53,2.5,8.0,50.0,200.0,200.0,8,2,0.8
24,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s0_z3.5_r0.7,2545,129,45.0,1.53,2.5,8.0,50.0,200.0,200.0,8,2,0.8
25,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z2.5_r0.7,1845,111,44.1,1.5,2.5,8.0,50.0,200.0,200.0,8,2,0.8
26,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z3.5_r0.7,1565,114,44.7,1.48,2.5,8.0,50.0,200.0,200.0,8,2,0.8
27,PA_SIGNAL_DIR_,PA_SIGNAL_DIR_s10_z3.0_r0.7,1565,114,44.7,1.48,2.5,8.0,50.0,200.0,200.0,8,2,0.8
28,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z2.5_r0.5,1225,26,50.0,1.81,2.5,8.0,50.0,200.0,200.0,8,2,0.5
29,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z3.5_r0.3,975,19,47.4,1.93,2.5,8.0,50.0,200.0,200.0,8,2,0.5
30,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z2.5_r0.3,925,22,45.5,1.77,2.5,8.0,50.0,200.0,200.0,8,2,0.5
31,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z3.5_r0.5,790,23,52.2,1.72,1.8,6.0,50.0,200.0,200.0,8,0,0.5
32,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z3.0_r0.3,745,20,45.0,1.72,2.5,8.0,50.0,200.0,200.0,8,2,0.5
33,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z3.0_r0.5,560,24,50.0,1.57,1.8,6.0,50.0,200.0,200.0,8,0,0.5
34,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z2.5_r0.5,460,22,50.0,1.54,2.0,5.0,50.0,200.0,200.0,8,2,0.65
35,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z3.5_r0.3,350,15,46.7,1.55,2.5,8.0,50.0,200.0,100.0,8,2,0.8
36,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z3.5_r0.5,225,20,50.0,1.44,1.8,5.0,50.0,200.0,200.0,8,0,0.5
37,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z3.0_r0.3,120,16,43.8,1.36,2.5,8.0,50.0,200.0,100.0,8,2,0.8
38,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z2.5_r0.3,95,17,47.1,1.36,2.5,8.0,50.0,200.0,100.0,8,2,0.8
39,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z3.0_r0.5,-5,21,47.6,1.3,1.8,5.0,50.0,200.0,200.0,8,0,0.5
40,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z3.5_r0.5,-490,14,42.9,0.96,1.8,5.0,50.0,200.0,200.0,8,2,0.8
41,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z3.0_r0.5,-720,15,40.0,0.85,1.8,5.0,50.0,200.0,200.0,8,2,0.8
42,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z2.5_r0.7,-965,34,38.2,1.01,1.8,6.0,50.0,200.0,200.0,6,0,0.5
43,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z2.5_r0.5,-965,15,40.0,0.71,2.5,8.0,50.0,200.0,200.0,8,2,0.8
44,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z3.5_r0.7,-1075,34,41.2,0.99,1.8,6.0,50.0,200.0,200.0,6,0,0.5
45,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s0_z3.0_r0.7,-1305,35,40.0,0.93,1.8,6.0,50.0,200.0,200.0,6,0,0.5
46,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z3.5_r0.3,-1505,12,33.3,0.28,0.8,1.5,50.0,200.0,200.0,8,2,0.8
47,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z3.0_r0.3,-1670,13,30.8,0.29,2.5,8.0,50.0,200.0,200.0,6,2,0.65
48,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z2.5_r0.3,-1710,13,30.8,0.27,2.5,8.0,50.0,200.0,200.0,6,2,0.65
49,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z3.5_r0.7,-1740,30,40.0,0.75,0.8,1.5,50.0,200.0,200.0,8,0,0.5
50,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z2.5_r0.7,-1855,29,37.9,0.71,0.8,1.5,50.0,200.0,200.0,8,0,0.5
51,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s10_z3.0_r0.7,-1970,31,38.7,0.71,0.8,1.5,50.0,200.0,200.0,8,0,0.5
52,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z3.5_r0.7,-2015,24,41.7,0.52,0.8,1.5,50.0,200.0,200.0,8,2,0.8
53,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z3.0_r0.7,-2245,25,40.0,0.48,0.8,1.5,50.0,200.0,200.0,8,2,0.8
54,PA_SIGNAL_DIR_V,PA_SIGNAL_DIR_V2_s20_z2.5_r0.7,-2255,22,36.4,0.4,0.8,1.5,50.0,200.0,200.0,8,2,0.8
